time_passed,earth_x,earth_y,earth_z,force_factor,
0.01,0.998955,1.000955,0,0.45,
0.02,0.997865,1.001865,0,0.45004,
0.03,0.99673,1.00273,0,0.45012,
0.04,0.99555,1.003549,0,0.450239,
0.05,0.994326,1.004324,0,0.450398,
0.06,0.993056,1.005053,0,0.450597,
0.07,0.991742,1.005737,0,0.450836,
0.08,0.990383,1.006376,0,0.451114,
0.09,0.98898,1.006969,0,0.451433,
0.1,0.987531,1.007517,0,0.451792,
0.11,0.986039,1.008019,0,0.452191,
0.12,0.984501,1.008475,0,0.452631,
0.13,0.982919,1.008886,0,0.453112,
0.14,0.981292,1.009251,0,0.453634,
0.15,0.979621,1.00957,0,0.454196,
0.16,0.977905,1.009843,0,0.454801,
0.17,0.976144,1.01007,0,0.455447,
0.18,0.974339,1.010252,0,0.456135,
0.19,0.97249,1.010387,0,0.456865,
0.2,0.970596,1.010476,0,0.457638,
0.21,0.968657,1.010518,0,0.458455,
0.22,0.966674,1.010514,0,0.459314,
0.23,0.964647,1.010464,0,0.460217,
0.24,0.962575,1.010367,0,0.461165,
0.25,0.960459,1.010223,0,0.462157,
0.26,0.958298,1.010032,0,0.463194,
0.27,0.956092,1.009795,0,0.464277,
0.28,0.953842,1.00951,0,0.465405,
0.29,0.951548,1.009179,0,0.466581,
0.3,0.949209,1.0088,0,0.467803,
0.31,0.946826,1.008374,0,0.469074,
0.32,0.944398,1.007901,0,0.470392,
0.33,0.941925,1.00738,0,0.47176,
0.34,0.939408,1.006811,0,0.473177,
0.35,0.936846,1.006194,0,0.474645,
0.36,0.93424,1.00553,0,0.476163,
0.37,0.931589,1.004817,0,0.477734,
0.38,0.928893,1.004057,0,0.479357,
0.39,0.926153,1.003248,0,0.481033,
0.4,0.923368,1.00239,0,0.482764,
0.41,0.920538,1.001485,0,0.48455,
0.42,0.917664,1.00053,0,0.486391,
0.43,0.914745,0.999526,0,0.48829,
0.44,0.91178,0.998474,0,0.490247,
